,cik_str,ticker,title
133,18172,CTAM,A. M. Castle & Co.
134,18230,CAT,CATERPILLAR INC
135,18255,CATO,CATO CORP
136,18349,SNV,SYNOVUS FINANCIAL CORP
137,18349,SNV-PD,SYNOVUS FINANCIAL CORP
138,18498,GCO,GENESCO INC
139,18654,AILIH,Ameren Illinois Co
140,18654,AILIM,Ameren Illinois Co
141,18654,AILIN,Ameren Illinois Co
142,18654,AILIO,Ameren Illinois Co
143,18654,AILIP,Ameren Illinois Co
144,18654,AILNP,Ameren Illinois Co
145,18654,AILLI,Ameren Illinois Co
146,18654,AILLL,Ameren Illinois Co
147,18654,AILLM,Ameren Illinois Co
148,18654,AILLN,Ameren Illinois Co
149,18654,AILLO,Ameren Illinois Co
150,18654,AILLP,Ameren Illinois Co
151,18926,CTL,"CENTURYLINK, INC"
152,19411,MGLN,MAGELLAN HEALTH INC
153,19446,CMD,CANTEL MEDICAL CORP
154,19584,CHE,CHEMED CORP
155,19612,TCF,TCF FINANCIAL CORP
156,19617,AMJ,JPMORGAN CHASE & CO
157,19617,JPM,JPMORGAN CHASE & CO
158,19617,JPM-PC,JPMORGAN CHASE & CO
159,19617,PPLN,JPMORGAN CHASE & CO
160,19617,JPM-PD,JPMORGAN CHASE & CO
161,19617,JPM-PG,JPMORGAN CHASE & CO
162,19617,JPM-PH,JPMORGAN CHASE & CO
163,19617,JPM-PJ,JPMORGAN CHASE & CO
164,19745,CPK,CHESAPEAKE UTILITIES CORP
165,19871,CVR,CHICAGO RIVET & MACHINE CO
166,20212,CHDN,CHURCHILL DOWNS Inc
167,20286,CINF,CINCINNATI FINANCIAL CORP
168,20520,FTR,FRONTIER COMMUNICATIONS CORP
169,20520,FTRQ,FRONTIER COMMUNICATIONS CORP
170,20629,CSS,CSS INDUSTRIES INC
171,20639,ABCP,AMBASE CORP
172,21076,CLX,CLOROX CO /DE/
173,21175,CNA,CNA FINANCIAL CORP
174,21344,KO,COCA COLA CO
175,21510,COHR,COHERENT INC
176,21535,COHU,COHU INC
177,21665,CL,COLGATE PALMOLIVE CO
178,22252,CMRO,COMARCO INC
179,22356,CBSH,COMMERCE BANCSHARES INC /MO/
180,22444,CMC,COMMERCIAL METALS Co
181,22701,JCS,COMMUNICATIONS SYSTEMS INC
182,22872,CHCR,"Advanzeon Solutions, Inc."
183,23111,CTG,COMPUTER TASK GROUP INC
184,23194,CRK,COMSTOCK RESOURCES INC
185,23197,CMTL,COMTECH TELECOMMUNICATIONS CORP /DE/
186,23217,CAG,CONAGRA BRANDS INC.
187,23426,CNLHN,CONNECTICUT LIGHT & POWER CO
188,23795,CTO,"CTO Realty Growth, Inc."
189,24090,CIA,"CITIZENS, INC."
190,24104,CUO,CONTINENTAL MATERIALS CORP
191,24491,CTB,COOPER TIRE & RUBBER CO
192,24545,TAP-A,MOLSON COORS BEVERAGE CO
193,24545,TAP,MOLSON COORS BEVERAGE CO
194,24741,GLW,CORNING INC /NY
195,25232,CUZ,COUSINS PROPERTIES INC
196,25445,CR,CRANE CO /DE/
197,25475,CRD-A,CRAWFORD & CO
198,25475,CRD-B,CRAWFORD & CO
199,25743,TXMD,"TherapeuticsMD, Inc."
200,25895,CRWS,CROWN CRAFTS INC
201,26058,CTS,CTS CORP
202,26076,CUB,CUBIC CORP /DE/
203,26172,CMI,CUMMINS INC
204,26324,CW,CURTISS WRIGHT CORP
205,26780,DAN,DANA INC
206,27093,USAU,U.S. GOLD CORP.
207,27419,TGT,TARGET CORP
208,27904,DAL,"DELTA AIR LINES, INC."
209,27996,DLX,DELUXE CORP
210,28412,CMA,COMERICA INC /NEW/
211,28823,DBD,"DIEBOLD NIXDORF, Inc"
212,28917,DDS,"DILLARD'S, INC."
213,29002,DIOD,DIODES INC /DEL/
214,29332,DXYN,DIXIE GROUP INC
215,29534,DG,DOLLAR GENERAL CORP
216,29644,DCI,DONALDSON CO INC
217,29669,RRD,RR Donnelley & Sons Co
218,29905,DOV,DOVER Corp
219,29989,OMC,OMNICOM GROUP INC.
220,30305,DCO,DUCOMMUN INC /DE/
221,30554,CTA-PA,DUPONT E I DE NEMOURS & CO
222,30554,CTA-PB,DUPONT E I DE NEMOURS & CO
223,30625,FLS,FLOWSERVE CORP
224,30697,WEN,Wendy's Co
225,30831,DYSL,DYNASIL CORP OF AMERICA
226,31107,EML,EASTERN CO
227,31235,KODK,EASTMAN KODAK CO
228,31347,ELON,ECHELON CORP
229,31462,ECL,ECOLAB INC.
230,31667,EDUC,EDUCATIONAL DEVELOPMENT CORP
231,31791,PKI,PERKINELMER INC
232,31978,EE,EL PASO ELECTRIC CO /TX/
233,32567,MTWD,METWOOD INC
234,32604,EMR,EMERSON ELECTRIC CO
235,32621,MSN,EMERSON RADIO CORP
236,33002,EBF,"ENNIS, INC."
237,33185,EFX,EQUIFAX INC
238,33213,EQT,EQT Corp
239,33488,ESCA,ESCALADE INC
240,33533,ESP,ESPEY MFG & ELECTRONICS CORP
241,33992,KINS,"KINGSTONE COMPANIES, INC."
242,34067,BOOM,DMC Global Inc.
243,34088,XOM,EXXON MOBIL CORP
244,34115,CLE,CLAIRES STORES INC
245,34285,RLBY,RELIABILITY INC
246,34563,FARM,FARMER BROTHERS CO
247,34782,SRCE,1ST SOURCE CORP
248,34903,FRT,FEDERAL REALTY INVESTMENT TRUST
249,34903,FRT-PC,FEDERAL REALTY INVESTMENT TRUST
250,34956,TENX,"TENAX THERAPEUTICS, INC."
251,35214,FOE,FERRO CORP
252,35527,FITB,FIFTH THIRD BANCORP
253,35527,FITBI,FIFTH THIRD BANCORP
254,35527,FITBO,FIFTH THIRD BANCORP
255,35527,FITBP,FIFTH THIRD BANCORP
256,36029,FFIN,FIRST FINANCIAL BANKSHARES INC
257,36047,CLGX,"CORELOGIC, INC."
258,36104,USB-PO,US BANCORP \DE\
259,36104,USB-PP,US BANCORP \DE\
260,36104,USB,US BANCORP \DE\
261,36104,USB-PA,US BANCORP \DE\
262,36104,USB-PH,US BANCORP \DE\
263,36104,USB-PM,US BANCORP \DE\
264,36146,TRMK,TRUSTMARK CORP
265,36270,MTB,M&T BANK CORP
266,36369,FHRT,FIRST HARTFORD CORP
267,36377,FHB,"FIRST HAWAIIAN, INC."
268,36506,MFNC,MACKINAC FINANCIAL CORP /MI/
269,36840,FREVS,FIRST REAL ESTATE INVESTMENT TRUST OF NEW JERSEY
270,36966,FHN-PD,FIRST HORIZON NATIONAL CORP
271,36966,FHN-PE,FIRST HORIZON NATIONAL CORP
272,36966,FHN,FIRST HORIZON NATIONAL CORP
273,36966,FHN-PA,FIRST HORIZON NATIONAL CORP
274,36966,FHN-PC,FIRST HORIZON NATIONAL CORP
275,37472,FLXS,FLEXSTEEL INDUSTRIES INC
276,37785,FMC,FMC CORP
277,37808,FNB,FNB CORP/PA/
278,37996,F,FORD MOTOR CO
279,37996,F-PB,FORD MOTOR CO
280,37996,F-PC,FORD MOTOR CO
281,38264,FORD,"Forward Industries, Inc."
282,38725,FELE,FRANKLIN ELECTRIC CO INC
283,38777,BEN,FRANKLIN RESOURCES INC
284,39020,FEIM,FREQUENCY ELECTRONICS INC
285,39092,FRD,FRIEDMAN INDUSTRIES INC
286,39263,CFR,"CULLEN/FROST BANKERS, INC."
287,39311,IBCP,INDEPENDENT BANK CORP /MI/
288,39368,FUL,FULLER H B CO
289,39677,AVHI,"AV Homes, Inc."
290,39899,TGNA,TEGNA INC
291,39911,GPS,GAP INC
292,40211,GATX,GATX CORP
293,40211,GMTA,GATX CORP
294,40533,GD,GENERAL DYNAMICS CORP
295,40545,GE,GENERAL ELECTRIC CO
296,40570,JOB,GEE Group Inc.
297,40704,GIS,GENERAL MILLS INC
298,40729,ALLY,Ally Financial Inc.
299,40729,ALLY-PA,Ally Financial Inc.
300,40730,MTLQU,Motors Liquidation Co
301,40888,AJRD,"AEROJET ROCKETDYNE HOLDINGS, INC."
302,40987,GPC,GENUINE PARTS CO
303,41091,GPJA,GEORGIA POWER CO
304,41719,GLT,GLATFELTER P H CO
305,42316,GV,GOLDFIELD CORP
306,42582,GT,GOODYEAR TIRE & RUBBER CO /OH/
307,42682,GRC,GORMAN RUPP CO
308,42888,GGG,GRACO INC
309,43196,GTN,GRAY TELEVISION INC
310,43196,GTN-A,GRAY TELEVISION INC
311,43920,GEF,"GREIF, INC"
312,43920,GEF-B,"GREIF, INC"
313,45012,HAL,HALLIBURTON CO
314,45876,HSC,HARSCO CORP
315,45919,HHS,HARTE HANKS INC
316,46080,HAS,"HASBRO, INC."
317,46129,AMOT,ALLIED MOTION TECHNOLOGIES INC
318,46195,BOH,BANK OF HAWAII CORP
319,46207,HAWLM,HAWAIIAN ELECTRIC CO INC
320,46207,HAWLN,HAWAIIAN ELECTRIC CO INC
321,46207,HAWEL,HAWAIIAN ELECTRIC CO INC
322,46207,HAWEM,HAWAIIAN ELECTRIC CO INC
323,46207,HAWEN,HAWAIIAN ELECTRIC CO INC
324,46207,HAWLI,HAWAIIAN ELECTRIC CO INC
325,46207,HAWLL,HAWAIIAN ELECTRIC CO INC
326,46250,HWKN,HAWKINS INC
327,46619,HEI,HEICO CORP
328,46619,HEI-A,HEICO CORP
329,46765,HP,"Helmerich & Payne, Inc."
330,47111,HSY,HERSHEY CO
331,47217,HPQ,HP INC
332,47307,CRAWA,CRAWFORD UNITED Corp
333,47518,HRC,"Hill-Rom Holdings, Inc."
334,48039,HFC,HollyFrontier Corp
335,48287,HNI,HNI CORP
336,48465,HRL,HORMEL FOODS CORP /DE/
337,48898,HUBB,HUBBELL INC
338,49071,HUM,HUMANA INC
339,49196,HBAN,HUNTINGTON BANCSHARES INC/MD
340,49196,HBANN,HUNTINGTON BANCSHARES INC/MD
341,49196,HBANO,HUNTINGTON BANCSHARES INC/MD
342,49279,HUSKF,HUSKY ENERGY INC
343,49600,EGP,EASTGROUP PROPERTIES INC
344,49728,IEC,IEC ELECTRONICS CORP
345,49754,DIN,"Dine Brands Global, Inc."
346,49826,ITW,ILLINOIS TOOL WORKS INC
347,49938,IMO,IMPERIAL OIL LTD
348,50104,TSO,ANDEAVOR LLC
349,50292,IEHC,IEH Corp
350,50471,PCYG,PARK CITY GROUP INC
351,50493,IMKTA,INGLES MARKETS INC
352,50725,GFF,GRIFFON CORP
353,50863,INTC,INTEL CORP
354,51011,ITDN,INTERDYNE CO
355,51143,IBM,INTERNATIONAL BUSINESS MACHINES CORP
356,51253,IFF,INTERNATIONAL FLAVORS & FRAGRANCES INC
357,51253,IFFT,INTERNATIONAL FLAVORS & FRAGRANCES INC
358,51434,IP,INTERNATIONAL PAPER CO /NEW/
359,51644,IPG,"INTERPUBLIC GROUP OF COMPANIES, INC."
360,52485,IPLDP,INTERSTATE POWER & LIGHT CO
361,52795,AXE,ANIXTER INTERNATIONAL INC
362,52827,RYN,RAYONIER INC
363,52988,J,JACOBS ENGINEERING GROUP INC /DE/
364,52988,JEC,JACOBS ENGINEERING GROUP INC /DE/
365,54187,MAYS,MAYS J W INC
366,54381,KAMN,KAMAN Corp
367,54480,KSU,KANSAS CITY SOUTHERN
368,54480,KSU-P,KANSAS CITY SOUTHERN
369,55067,K,KELLOGG CO
370,55135,KELYA,KELLY SERVICES INC
371,55135,KELYB,KELLY SERVICES INC
372,55242,KMT,KENNAMETAL INC
373,55362,IHRC,Investors Heritage Capital Corp
374,55529,KEQU,KEWAUNEE SCIENTIFIC CORP /DE/
375,55772,KBAL,KIMBALL INTERNATIONAL INC
376,55785,KMB,KIMBERLY CLARK CORP
377,56047,KEX,KIRBY CORP
378,56679,KFY,KORN FERRY
379,56701,KOSS,KOSS CORP
380,56868,PNRG,PRIMEENERGY RESOURCES CORP
381,56873,KR,KROGER CO
382,56978,KLIC,KULICKE & SOFFA INDUSTRIES INC
383,57083,KYO,KYOCERA CORP
384,57131,LZB,LA-Z-BOY INC
385,57515,LANC,LANCASTER COLONY CORP
386,57528,LNCE,"SNYDER'S-LANCE, INC."
387,57725,LCI,LANNETT CO INC
388,58361,LEE,"LEE ENTERPRISES, Inc"
389,58492,LEG,LEGGETT & PLATT INC
390,59255,VHI,VALHI INC /DE/
391,59440,VGR,VECTOR GROUP LTD
392,59478,LLY,ELI LILLY & Co
393,59527,LECO,LINCOLN ELECTRIC HOLDINGS INC
394,59558,LNC,LINCOLN NATIONAL CORP
395,59860,GRMC,GOLDRICH MINING CO
396,60086,L,LOEWS CORP
397,60519,LPX,LOUISIANA-PACIFIC CORP
398,60667,LOW,LOWES COMPANIES INC
399,60714,LXU,LSB INDUSTRIES INC
400,60977,LDL,LYDALL INC /DE/
401,61004,LGL,LGL GROUP INC
402,61398,TELL,TELLURIAN INC. /DE/
403,61986,MTW,MANITOWOC CO INC
404,62234,MCS,MARCUS CORP
405,62362,MARPS,MARINE PETROLEUM TRUST
406,62709,MMC,"MARSH & MCLENNAN COMPANIES, INC."
407,62996,MAS,MASCO CORP /DE/
408,63276,MAT,MATTEL INC /DE/
409,63296,MATW,MATTHEWS INTERNATIONAL CORP
410,63330,MLP,MAUI LAND & PINEAPPLE CO INC
411,63754,MKC,MCCORMICK & CO INC
412,63754,MKCV,MCCORMICK & CO INC
413,63908,MCD,MCDONALDS CORP
414,64040,SPGI,S&P Global Inc.
415,64463,MKTY,MECHANICAL TECHNOLOGY INC
416,64472,GENC,GENCOR INDUSTRIES INC
417,64803,CVS,CVS HEALTH Corp
418,64996,MCY,MERCURY GENERAL CORP
419,65011,MDP,MEREDITH CORP
420,65172,MSB,MESABI TRUST
421,65270,MEI,METHODE ELECTRONICS INC
422,65312,EVI,"EVI INDUSTRIES, INC."
423,65596,SIEB,SIEBERT FINANCIAL CORP
424,65759,MPAD,MICROPAC INDUSTRIES INC
425,65770,MVIS,"MICROVISION, INC."
426,65984,ETR,ENTERGY CORP /DE/
427,66004,MSEX,MIDDLESEX WATER CO
428,66382,MLHR,HERMAN MILLER INC
429,66388,MLLS,MILLER INDUSTRIES INC
430,66418,MXC,MEXCO ENERGY CORP
431,66496,MMTRS,MILLS MUSIC TRUST
432,66570,MSA,MSA Safety Inc
433,66600,MMMM,"Quad M Solutions, Inc."
434,66740,MMM,3M CO
435,66756,ALE,ALLETE INC
436,66901,EMP,"ENTERGY MISSISSIPPI, LLC"
437,67088,MUFG,MITSUBISHI UFJ FINANCIAL GROUP INC
438,67215,DY,DYCOM INDUSTRIES INC
439,67347,MOD,MODINE MANUFACTURING CO
440,67625,MNR-PC,MONMOUTH REAL ESTATE INVESTMENT CORP
441,67625,MNR,MONMOUTH REAL ESTATE INVESTMENT CORP
442,67716,MDU,MDU RESOURCES GROUP INC
443,67887,MOG-B,MOOG INC.
444,67887,MOG-A,MOOG INC.
445,68505,MSI,"Motorola Solutions, Inc."
446,68622,CTY,QWEST CORP
447,68709,MTSC,MTS SYSTEMS CORP
448,69422,INTG,INTERGROUP CORP
449,69488,MYE,MYERS INDUSTRIES INC
450,69633,NSSC,"NAPCO SECURITY TECHNOLOGIES, INC"
451,69733,NATH,NATHANS FAMOUS INC
452,69891,FIZZ,NATIONAL BEVERAGE CORP
453,70145,NFG,NATIONAL FUEL GAS CO
454,70318,THC,TENET HEALTHCARE CORP
455,70415,GPX,GP STRATEGIES CORP
456,70487,NRC,NATIONAL RESEARCH CORP
457,70502,NRUC,NATIONAL RURAL UTILITIES COOPERATIVE FINANCE CORP /DC/
458,70858,BAC,BANK OF AMERICA CORP /DE/
459,70858,BAC-PA,BANK OF AMERICA CORP /DE/
460,70858,BAC-PB,BANK OF AMERICA CORP /DE/
461,70858,MER-PK,BANK OF AMERICA CORP /DE/
462,70858,BML-PH,BANK OF AMERICA CORP /DE/
463,70858,BML-PJ,BANK OF AMERICA CORP /DE/
464,70858,BML-PL,BANK OF AMERICA CORP /DE/
465,70858,BAC-PE,BANK OF AMERICA CORP /DE/
466,70858,BAC-PK,BANK OF AMERICA CORP /DE/
467,70858,BAC-PL,BANK OF AMERICA CORP /DE/
468,70858,BAC-PM,BANK OF AMERICA CORP /DE/
469,70858,BAC-PN,BANK OF AMERICA CORP /DE/
470,70858,BML-PG,BANK OF AMERICA CORP /DE/
471,70866,NCR,NCR CORP
472,71508,ENJ,"ENTERGY NEW ORLEANS, LLC"
473,71508,ENO,"ENTERGY NEW ORLEANS, LLC"
474,71557,NUVR,"Nuvera Communications, Inc."
475,71691,NYT,NEW YORK TIMES CO
476,71829,NR,NEWPARK RESOURCES INC
477,72162,NL,NL INDUSTRIES INC
478,72205,NOBH,NOBILITY HOMES INC
479,72207,NBL,NOBLE ENERGY INC
480,72331,NDSN,NORDSON CORP
481,72333,JWN,NORDSTROM INC
482,72444,VXRT,"Vaxart, Inc."
483,72573,MOV,MOVADO GROUP INC
484,72633,NRT,NORTH EUROPEAN OIL ROYALTY TRUST
485,72741,ES,EVERSOURCE ENERGY
486,72903,XEL,XCEL ENERGY INC
487,72971,WFC-PY,WELLS FARGO & COMPANY/MN
488,72971,WFC-PZ,WELLS FARGO & COMPANY/MN
489,72971,WFC-PQ,WELLS FARGO & COMPANY/MN
490,72971,WFC-PR,WELLS FARGO & COMPANY/MN
491,72971,WFC-PT,WELLS FARGO & COMPANY/MN
492,72971,WFC-PV,WELLS FARGO & COMPANY/MN
493,72971,WFC-PW,WELLS FARGO & COMPANY/MN
494,72971,WFC-PX,WELLS FARGO & COMPANY/MN
495,72971,WFC,WELLS FARGO & COMPANY/MN
496,72971,WFC-PL,WELLS FARGO & COMPANY/MN
497,72971,WFC-PN,WELLS FARGO & COMPANY/MN
498,72971,WFC-PO,WELLS FARGO & COMPANY/MN
499,72971,WFC-PP,WELLS FARGO & COMPANY/MN
500,73088,NWE,NORTHWESTERN CORP
501,73124,NTRS,NORTHERN TRUST CORP
502,73124,NTRSO,NORTHERN TRUST CORP
503,73290,BMRA,BIOMERICA INC
504,73309,NUE,NUCOR CORP
505,73756,OII,OCEANEERING INTERNATIONAL INC
506,74046,ODC,Oil-Dri Corp of America
507,74208,UDR,"UDR, Inc."
508,74260,ORI,OLD REPUBLIC INTERNATIONAL CORP
509,74303,OLN,OLIN Corp
510,75208,OSG,OVERSEAS SHIPHOLDING GROUP INC
511,75252,OMI,OWENS & MINOR INC/VA/
512,75288,OXM,OXFORD INDUSTRIES INC
513,75340,PFIN,P&F INDUSTRIES INC
514,75362,PCAR,PACCAR INC
515,75439,MDIT,"Medite Cancer Diagnostics, Inc."
516,75677,PKG,PACKAGING CORP OF AMERICA
517,76267,PKE,PARK AEROSPACE CORP
518,76282,PKOH,PARK OHIO HOLDINGS CORP
519,76321,PKD,PARKER DRILLING CO /DE/
520,76321,PKDC,PARKER DRILLING CO /DE/
