,shortName,longName,symbol,localLongName
110,RWF,Rwandan Franc,RWF,Rwandan Franc
111,AED,United Arab Emirates Dirham,AED,United Arab Emirates Dirham
112,HKD,Hong Kong Dollar,HKD,Hong Kong Dollar
113,EUR,Euro,EUR,Euro
114,LSL,Lesotho Loti,LSL,Lesotho Loti
115,DKK,Danish Krone,DKK,Danish Krone
116,CAD,Canadian Dollar,CAD,Canadian Dollar
117,BGN,Bulgarian Lev,BGN,Bulgarian Lev
118,MMK,Myanma Kyat,MMK,Myanma Kyat
119,SYP,Syrian Pound,SYP,Syrian Pound
120,NOK,Norwegian Krone,NOK,Norwegian Krone
121,MUR,Mauritian Rupee,MUR,Mauritian Rupee
122,ZWL,Zimbabwean Dollar (2009),ZWL,Zimbabwean Dollar (2009)
123,GIP,Gibraltar Pound,GIP,Gibraltar Pound
124,RON,Romanian Leu,RON,Romanian Leu
125,LKR,Sri Lankan Rupee,LKR,Sri Lankan Rupee
126,NGN,Nigerian Naira,NGN,Nigerian Naira
127,CRC,Costa Rican Colón,CRC,Costa Rican Colón
128,CZK,Czech Republic Koruna,CZK,Czech Republic Koruna
129,IEP,Irish Pound,IEP,Irish Pound
130,PKR,Pakistani Rupee,PKR,Pakistani Rupee
131,XCD,East Caribbean Dollar,XCD,East Caribbean Dollar
132,ANG,Netherlands Antillean Guilder,ANG,Netherlands Antillean Guilder
133,HTG,Haitian Gourde,HTG,Haitian Gourde
134,BHD,Bahraini Dinar,BHD,Bahraini Dinar
135,SIT,Slovenian Tolar,SIT,Slovenian Tolar
136,KZT,Kazakhstani Tenge,KZT,Kazakhstani Tenge
137,SRD,Surinamese Dollar,SRD,Surinamese Dollar
138,SZL,Swazi Lilangeni,SZL,Swazi Lilangeni
139,LTL,Lithuanian Litas,LTL,Lithuanian Litas
140,SAR,Saudi Riyal,SAR,Saudi Riyal
141,TTD,Trinidad and Tobago Dollar,TTD,Trinidad and Tobago Dollar
142,YER,Yemeni Rial,YER,Yemeni Rial
143,MVR,Maldivian Rufiyaa,MVR,Maldivian Rufiyaa
144,AFN,Afghan Afghani,AFN,Afghan Afghani
145,INR,Indian Rupee,INR,Indian Rupee
146,AWG,Aruban Florin,AWG,Aruban Florin
147,NPR,Nepalese Rupee,NPR,Nepalese Rupee
148,KRW,South Korean Won,KRW,South Korean Won
149,JPY,Japanese Yen,JPY,Japanese Yen
150,MNT,Mongolian Tugrik,MNT,Mongolian Tugrik
151,PLN,Polish Zloty,PLN,Polish Zloty
152,AOA,Angolan Kwanza,AOA,Angolan Kwanza
153,SBD,Solomon Islands Dollar,SBD,Solomon Islands Dollar
154,GBP,British Pound Sterling,GBP,British Pound Sterling
155,BYN,Belarusian Ruble,BYN,Belarusian Ruble
156,HUF,Hungarian Forint,HUF,Hungarian Forint
157,BYR,Belarusian Ruble (2000-2016),BYR,Belarusian Ruble (2000-2016)
158,BIF,Burundian Franc,BIF,Burundian Franc
159,MWK,Malawian Malawi Kwacha,MWK,Malawian Malawi Kwacha
160,MGA,Malagasy Ariary,MGA,Malagasy Ariary
161,XDR,Special Drawing Rights,XDR,Special Drawing Rights
162,DEM,German Mark,DEM,German Mark
163,BZD,Belize Dollar,BZD,Belize Dollar
164,BAM,Bosnia-Herzegovina Convertible Mark,BAM,Bosnia-Herzegovina Convertible Mark
165,MOP,Macanese Pataca,MOP,Macanese Pataca
166,EGP,Egyptian Pound,EGP,Egyptian Pound
167,NAD,Namibian Dollar,NAD,Namibian Dollar
168,NIO,Nicaraguan Córdoba,NIO,Nicaraguan Córdoba
169,PEN,Peruvian Sol,PEN,Peruvian Sol
170,WST,Samoan Tala,WST,Samoan Tala
171,NZD,New Zealand Dollar,NZD,New Zealand Dollar
172,TMT,Turkmenistani Manat,TMT,Turkmenistani Manat
173,FRF,French Franc,FRF,French Franc
174,CLF,Chilean Unit of Account (UF),CLF,Chilean Unit of Account (UF)
175,BRL,Brazilian Real,BRL,Brazilian Real
